year,type,public_body_name,program_name,activity_name,sub_program_name,project_name,text,treasury,retained,assistance,loan,total
2012,recurrent,Office of the National Election Board,Fair Election,Performing Election Operation and Logestics,,,Office of the National Election Board Fair Election Performing Election Operation and Logestics,2255863190,0,,,2255863190
2012,recurrent,Ministry of Peace,Management & Administration,Providing Support and Service,,,Ministry of Peace Management & Administration Providing Support and Service,54941600,0,,,54941600
2012,recurrent,Ministry of Peace,Federalism and Pastoral,Enhancing Implementation Capacity in Pastoral Region,,,Ministry of Peace Federalism and Pastoral Enhancing Implementation Capacity in Pastoral Region,464786404,0,,,464786404
2012,recurrent,Ministry of Peace,Federalism and Pastoral,Strengthning Inter-Governmental Relation Ship,,,Ministry of Peace Federalism and Pastoral Strengthning Inter-Governmental Relation Ship,4738796,0,,,4738796
2012,recurrent,Ministry of Peace,Peace Value,Building Value of Peace  ,,,Ministry of Peace Peace Value Building Value of Peace  ,2.6e+07,0,,,2.6e+07
2012,recurrent,Ministry of Peace,Securing Rule of Law,Securing and Maintaining Rule of Law,,,Ministry of Peace Securing Rule of Law Securing and Maintaining Rule of Law,13833271,0,,,13833271
2012,recurrent,Ministry of Peace,Administrative Modernization ,Developing Modern Information System,,,Ministry of Peace Administrative Modernization  Developing Modern Information System,15455490,0,,,15455490
2012,recurrent,Council of Constitutional Inquiry,Management and Administration,Providing Support and Service,,,Council of Constitutional Inquiry Management and Administration Providing Support and Service,13252000,0,,,13252000
2012,recurrent,Council of Constitutional Inquiry,Investigation of Constitutional Issues,Providing Recommendation on Constitutional Issues,,,Council of Constitutional Inquiry Investigation of Constitutional Issues Providing Recommendation on Constitutional Issues,6430000,0,,,6430000
2012,recurrent,Federal Attorney General,Management and Administration,Providing Support and Service,,,Federal Attorney General Management and Administration Providing Support and Service,71490248,0,,,71490248
2012,recurrent,Federal Attorney General,Litigation,Conducting Crime Investigation & Litigation,,,Federal Attorney General Litigation Conducting Crime Investigation & Litigation,224217027,0,,,224217027
2012,recurrent,Federal Attorney General,Litigation,Conducting Civil Litigation,,,Federal Attorney General Litigation Conducting Civil Litigation,3903246,0,,,3903246
2012,recurrent,Federal Attorney General,Litigation,Facilitating Pardon of Prisoners,,,Federal Attorney General Litigation Facilitating Pardon of Prisoners,1745590,0,,,1745590
2012,recurrent,Federal Attorney General,Litigation,Giving Education and Training on Human Trafficking and Smuggling,,,Federal Attorney General Litigation Giving Education and Training on Human Trafficking and Smuggling,967560,0,,,967560
2012,recurrent,Federal Attorney General,Legal Affairs,Legal Drafting and Dissemination,,,Federal Attorney General Legal Affairs Legal Drafting and Dissemination,16528793,0,,,16528793
2012,recurrent,Federal Attorney General,Legal Affairs,Renewing and Giving Advocacy License,,,Federal Attorney General Legal Affairs Renewing and Giving Advocacy License,2691636,0,,,2691636
2012,recurrent,Federal Attorney General,Legal Affairs,Implementing Human Right Plan of Action,,,Federal Attorney General Legal Affairs Implementing Human Right Plan of Action,1326830,0,,,1326830
2012,recurrent,Federal Attorney General,Legal Affairs,Conducting Legal Audit and Inspection,,,Federal Attorney General Legal Affairs Conducting Legal Audit and Inspection,2129070,0,,,2129070
2012,recurrent,Federal Courts,Federal Supreme Court,Providing Support and Service,,,Federal Courts Federal Supreme Court Providing Support and Service,54014000,0,,,54014000
2012,recurrent,Federal Courts,Federal Supreme Court,Disposing Cases Submitted to the Court,,,Federal Courts Federal Supreme Court Disposing Cases Submitted to the Court,46205800,0,,,46205800
2012,recurrent,Federal Courts,Federal Supreme Court,Confirming Courts Executions Service,,,Federal Courts Federal Supreme Court Confirming Courts Executions Service,8274000,0,,,8274000
2012,recurrent,Federal Courts,Federal Supreme Court,Providing Defense Attorney Service,,,Federal Courts Federal Supreme Court Providing Defense Attorney Service,9654500,0,,,9654500
2012,recurrent,Federal Courts,Federal Supreme Court,Reforming Federal Courts,,,Federal Courts Federal Supreme Court Reforming Federal Courts,7251700,0,,,7251700
2012,recurrent,Federal Courts,Federal Higher Court,Providing Support and Service,,,Federal Courts Federal Higher Court Providing Support and Service,42191765,0,,,42191765
2012,recurrent,Federal Courts,Federal Higher Court,Disposing Cases Submitted to the Court,,,Federal Courts Federal Higher Court Disposing Cases Submitted to the Court,78170521,0,,,78170521
2012,recurrent,Federal Courts,Federal First Instance Court,Providing Support and Service,,,Federal Courts Federal First Instance Court Providing Support and Service,73447675,0,,,73447675
2012,recurrent,Federal Courts,Federal First Instance Court,Disposing Cases Submitted to the Court,,,Federal Courts Federal First Instance Court Disposing Cases Submitted to the Court,137417055,0,,,137417055
2012,recurrent,Federal Courts,Federal Shrei Supreme Court,Providing Support and Service,,,Federal Courts Federal Shrei Supreme Court Providing Support and Service,11089890,0,,,11089890
2012,recurrent,Federal Courts,Federal Shrei Supreme Court,Disposing Cases Submitted to the Court,,,Federal Courts Federal Shrei Supreme Court Disposing Cases Submitted to the Court,4544110,0,,,4544110
2012,recurrent,Federal Courts,Judiciary Administration Council,Providing Support and Service,,,Federal Courts Judiciary Administration Council Providing Support and Service,6842000,0,,,6842000
2012,recurrent,Cyber Army Development Institute,Manegment and Administration,Providing Support and Service,,,Cyber Army Development Institute Manegment and Administration Providing Support and Service,28024000,0,,,28024000
2012,recurrent,Cyber Army Development Institute,Cyber Talent Development and Management ,Conducting Talent  Development,,,Cyber Army Development Institute Cyber Talent Development and Management  Conducting Talent  Development,8e+06,0,,,8e+06
2012,recurrent,Cyber Army Development Institute,Research and Development,Conducting Research and Development,,,Cyber Army Development Institute Research and Development Conducting Research and Development,3410000,0,,,3410000
2012,recurrent,Agency for Civil Society Organization,Manegment and Administration,Providing Support and Service,,,Agency for Civil Society Organization Manegment and Administration Providing Support and Service,33568990,0,,,33568990
2012,recurrent,Agency for Civil Society Organization,Civil Society Organization's Registration & Support,Issuing and Renewal of Licence ,,,Agency for Civil Society Organization Civil Society Organization's Registration & Support Issuing and Renewal of Licence ,2469000,0,,,2469000
2012,recurrent,Agency for Civil Society Organization,Civil Society Organization's Registration & Support,Performing Supervision and Support,,,Agency for Civil Society Organization Civil Society Organization's Registration & Support Performing Supervision and Support,7971570,0,,,7971570
2012,recurrent,Agency for Civil Society Organization,Civil Society Organization's Registration & Support,"Liquidating,Transferring and Disposing Asset ",,,"Agency for Civil Society Organization Civil Society Organization's Registration & Support Liquidating,Transferring and Disposing Asset ",7304740,0,,,7304740
2012,recurrent,Justice and Legal System Research and Training Institute,Managemant & Adminstration,Providing Support and Service,,,Justice and Legal System Research and Training Institute Managemant & Adminstration Providing Support and Service,21449000,0,,,21449000
2012,recurrent,Justice and Legal System Research and Training Institute,Research and Development,Conducting Research and Development,,,Justice and Legal System Research and Training Institute Research and Development Conducting Research and Development,6507000,0,,,6507000
2012,recurrent,Justice and Legal System Research and Training Institute,Information Gathering ,Gathering & Disseminating of Information,,,Justice and Legal System Research and Training Institute Information Gathering  Gathering & Disseminating of Information,1549000,0,,,1549000
2012,recurrent,Justice and Legal System Research and Training Institute,Training  ,Providing Training,,,Justice and Legal System Research and Training Institute Training   Providing Training,18149000,9e+05,,,19049000
2012,recurrent,Justice and Legal System Research and Training Institute,Support and Followup of Reform Program,Conducting Followup and Support for Reform Program,,,Justice and Legal System Research and Training Institute Support and Followup of Reform Program Conducting Followup and Support for Reform Program,4172000,0,,,4172000
2012,recurrent,National Intelligence and Security Service,Management and Administration,Providing Support and Service,,,National Intelligence and Security Service Management and Administration Providing Support and Service,123015410,0,,,123015410
2012,recurrent,National Intelligence and Security Service,Intelligence,Gathering and Consolidating Information from Abroad,,,National Intelligence and Security Service Intelligence Gathering and Consolidating Information from Abroad,91784948,0,,,91784948
2012,recurrent,National Intelligence and Security Service,Intelligence,Inspecting & Examining Technical Intelligence,,,National Intelligence and Security Service Intelligence Inspecting & Examining Technical Intelligence,15201832,0,,,15201832
2012,recurrent,National Intelligence and Security Service,Intelligence,Gathering and Consolidating Information within the Country,,,National Intelligence and Security Service Intelligence Gathering and Consolidating Information within the Country,80623764,0,,,80623764
2012,recurrent,National Intelligence and Security Service,Security ,Providing Protection to VIP and Infrastructure,,,National Intelligence and Security Service Security  Providing Protection to VIP and Infrastructure,96722197,0,,,96722197
2012,recurrent,Federal Police Commision,Management and Administration,Providing Support and Service,,,Federal Police Commision Management and Administration Providing Support and Service,506391810,0,,,506391810
2012,recurrent,Federal Police Commision,Crime Investigation,Conducting Crime Investigation,,,Federal Police Commision Crime Investigation Conducting Crime Investigation,187398250,0,,,187398250
2012,recurrent,Federal Police Commision,Crime Prevention,Providing Opertaional Service,,,Federal Police Commision Crime Prevention Providing Opertaional Service,268259287,0,,,268259287
2012,recurrent,Federal Police Commision,Crime Prevention,Delivering Peace and Security,,,Federal Police Commision Crime Prevention Delivering Peace and Security,341365520,0,,,341365520
2012,recurrent,Federal Police Commision,Crime Prevention,Combating Anti-Terrorism and Gangster Groups,,,Federal Police Commision Crime Prevention Combating Anti-Terrorism and Gangster Groups,305003858,0,,,305003858
2012,recurrent,Federal Police Commision,Crime Prevention,Preventing and Controlling Human Trafficking,,,Federal Police Commision Crime Prevention Preventing and Controlling Human Trafficking,773392742,0,,,773392742
2012,recurrent,Federal Police Commision,Education and trainning,Providing Education and Training,,,Federal Police Commision Education and trainning Providing Education and Training,102942000,0,,,102942000
2012,recurrent,Federal Police Commision,Education and trainning,Providing Training on Forensic Investigation,,,Federal Police Commision Education and trainning Providing Training on Forensic Investigation,10443000,0,,,10443000
2012,recurrent,Federal Police Commision,Education and trainning,Providing Medical Education and Training ,,,Federal Police Commision Education and trainning Providing Medical Education and Training ,9260934,0,,,9260934
2012,recurrent,Federal Police Commision,Education and trainning,Conducting Research and Development,,,Federal Police Commision Education and trainning Conducting Research and Development,8125275,0,,,8125275
2012,recurrent,Federal Police Commision,Health Services,Providing Support to Medication ,,,Federal Police Commision Health Services Providing Support to Medication ,135577000,0,,,135577000
2012,recurrent,Federal Ethics And Anti-Corruption Commission,Management and adminisstration,Providing Support and Service,,,Federal Ethics And Anti-Corruption Commission Management and adminisstration Providing Support and Service,26450620,0,,,26450620
2012,recurrent,Federal Ethics And Anti-Corruption Commission,Prevention of Corruption,Providing Ethical and Anti-Corruption Education,,,Federal Ethics And Anti-Corruption Commission Prevention of Corruption Providing Ethical and Anti-Corruption Education,11388650,0,,,11388650
2012,recurrent,Federal Ethics And Anti-Corruption Commission,Prevention of Corruption,Conducting Systems Reform,,,Federal Ethics And Anti-Corruption Commission Prevention of Corruption Conducting Systems Reform,7654810,0,,,7654810
2012,recurrent,Federal Ethics And Anti-Corruption Commission,Prevention of Corruption,Strengthening Ethics and Anti-Corruption Main Actors’ Role,,,Federal Ethics And Anti-Corruption Commission Prevention of Corruption Strengthening Ethics and Anti-Corruption Main Actors’ Role,4970980,0,,,4970980
2012,recurrent,Federal Ethics And Anti-Corruption Commission,Prevention of Corruption,Conducting Registration and Disclosing of Wealth,,,Federal Ethics And Anti-Corruption Commission Prevention of Corruption Conducting Registration and Disclosing of Wealth,4762350,0,,,4762350
2012,recurrent,Federal Ethics And Anti-Corruption Commission,Prevention of Corruption,Conducting Capacity Building,,,Federal Ethics And Anti-Corruption Commission Prevention of Corruption Conducting Capacity Building,11772590,0,,,11772590
2012,recurrent,Federal Prison Administration,Management and Administration,Providing Support and Service,,,Federal Prison Administration Management and Administration Providing Support and Service,150587770,0,,,150587770
2012,recurrent,Federal Prison Administration,Custody and Security ,Providing Custody and Security Service,,,Federal Prison Administration Custody and Security  Providing Custody and Security Service,213721623,0,,,213721623
2012,recurrent,Federal Prison Administration,Rehabilitation and Development ,Providing Rehabilitation and Development Service,,,Federal Prison Administration Rehabilitation and Development  Providing Rehabilitation and Development Service,132690940,0,,,132690940
2012,recurrent,Federal Prison Administration,Basic Needs,Providing Basic Needs Service,,,Federal Prison Administration Basic Needs Providing Basic Needs Service,212921790,0,,,212921790
2012,recurrent,Federal Tax Appeal Commission,Management and Administration,Providing Support and Service,,,Federal Tax Appeal Commission Management and Administration Providing Support and Service,14050959,0,,,14050959
2012,recurrent,Federal Tax Appeal Commission,Debating and  Decision making,Deciding on Debated appeal of Complaints,,,Federal Tax Appeal Commission Debating and  Decision making Deciding on Debated appeal of Complaints,502200,0,,,502200
2012,recurrent,Federal Tax Appeal Commission,Debating and  Decision making,Conduct tax Research Studies,,,Federal Tax Appeal Commission Debating and  Decision making Conduct tax Research Studies,935000,0,,,935000
2012,recurrent,Ethiopian Human Right Comission,Management & Administartion,Providing Support and Service,,,Ethiopian Human Right Comission Management & Administartion Providing Support and Service,42249079,0,,,42249079
2012,recurrent,Ethiopian Human Right Comission,Human Rights Promotion and Communication,Promoting Human Rights,,,Ethiopian Human Right Comission Human Rights Promotion and Communication Promoting Human Rights,12032978,0,,,12032978
2012,recurrent,Ethiopian Human Right Comission,Human Rights Affair of Women & childrens,"Promoting Women, Children's and Vulnerable Groups' Rights",,,"Ethiopian Human Right Comission Human Rights Affair of Women & childrens Promoting Women, Children's and Vulnerable Groups' Rights",7038571,0,,,7038571
2012,recurrent,Ethiopian Human Right Comission,Ensuring Protection of Human Rights,Protecting Human Rights Violation,,,Ethiopian Human Right Comission Ensuring Protection of Human Rights Protecting Human Rights Violation,8913636,0,,,8913636
2012,recurrent,Ethiopian Human Right Comission,Ensuring Protection of Human Rights,Monitoring Human Rights Issues,,,Ethiopian Human Right Comission Ensuring Protection of Human Rights Monitoring Human Rights Issues,2619482,0,,,2619482
2012,recurrent,Ethiopian Human Right Comission,Ensuring Protection of Human Rights,Conducting Research on Human Right Issues,,,Ethiopian Human Right Comission Ensuring Protection of Human Rights Conducting Research on Human Right Issues,1696255,0,,,1696255
2012,recurrent,Institution of The Ombudsman,Management and Administration,Providing Support and Service,,,Institution of The Ombudsman Management and Administration Providing Support and Service,43720935,0,,,43720935
2012,recurrent,Institution of The Ombudsman,Special Needs Societies,Counducting Inspection and Follow-up ,,,Institution of The Ombudsman Special Needs Societies Counducting Inspection and Follow-up ,1846021,0,,,1846021
2012,recurrent,Institution of The Ombudsman,Special Needs Societies,Conducting Awareness Creation,,,Institution of The Ombudsman Special Needs Societies Conducting Awareness Creation,4e+05,0,,,4e+05
2012,recurrent,Institution of The Ombudsman,Prevention of Maladministration,Conducting Inspection and Follow-up ,,,Institution of The Ombudsman Prevention of Maladministration Conducting Inspection and Follow-up ,4529177,0,,,4529177
2012,recurrent,Institution of The Ombudsman,Prevention of Maladministration,Conducting Awareness Creation,,,Institution of The Ombudsman Prevention of Maladministration Conducting Awareness Creation,350000,0,,,350000
2012,recurrent,Institution of The Ombudsman,Freedom of Information,Conducting Inspection and Follow-up ,,,Institution of The Ombudsman Freedom of Information Conducting Inspection and Follow-up ,5407708,0,,,5407708
2012,recurrent,Institution of The Ombudsman,Freedom of Information,Conducting Awareness Creation,,,Institution of The Ombudsman Freedom of Information Conducting Awareness Creation,1e+06,0,,,1e+06
2012,recurrent,Institution of The Ombudsman,Investigation of Maladministration & Correction,Conducting Investigation and Correction,,,Institution of The Ombudsman Investigation of Maladministration & Correction Conducting Investigation and Correction,7539159,0,,,7539159
2012,recurrent,Documents Authentication and Registration Office,Management and Administration ,Providing Support and Service ,,,Documents Authentication and Registration Office Management and Administration  Providing Support and Service ,0,80995046,,,80995046
2012,recurrent,Documents Authentication and Registration Office,"Document Autentication, Registration and Legal Affairs","Providing Documents’ Authentication, Registration and Organization Service ",,,"Documents Authentication and Registration Office Document Autentication, Registration and Legal Affairs Providing Documents’ Authentication, Registration and Organization Service ",0,50669036,,,50669036
2012,recurrent,Documents Authentication and Registration Office,"Document Autentication, Registration and Legal Affairs",Strengthening Partnership with Regional Institutions,,,"Documents Authentication and Registration Office Document Autentication, Registration and Legal Affairs Strengthening Partnership with Regional Institutions",0,1380891,,,1380891
2012,recurrent,Documents Authentication and Registration Office,"Document Autentication, Registration and Legal Affairs",Conducting Collection of Government Revenue,,,"Documents Authentication and Registration Office Document Autentication, Registration and Legal Affairs Conducting Collection of Government Revenue",0,9006412,,,9006412
2012,recurrent,Information Network Security Agency,Management and Administration ,Providing Support and Service,,,Information Network Security Agency Management and Administration  Providing Support and Service,320540334,0,,,320540334
2012,recurrent,Information Network Security Agency,Cyber Security,National Cyber Security Infrastructure Development,,,Information Network Security Agency Cyber Security National Cyber Security Infrastructure Development,169428130,0,,,169428130
2012,recurrent,Information Network Security Agency,Cyber Security,"Cyber Security Standardization, Governance, Management and Evaluation and Accreditation",,,"Information Network Security Agency Cyber Security Cyber Security Standardization, Governance, Management and Evaluation and Accreditation",10005000,0,,,10005000
2012,recurrent,Information Network Security Agency,Cyber Security,Providing National Cryptography Key Management Service Provision ,,,Information Network Security Agency Cyber Security Providing National Cryptography Key Management Service Provision ,23345500,0,,,23345500
2012,recurrent,Information Network Security Agency,Cyber Security,Developing Cyber Security Culture ,,,Information Network Security Agency Cyber Security Developing Cyber Security Culture ,2410000,0,,,2410000
2012,recurrent,Information Network Security Agency,Cyber Warfare ,"Cyber Intelligence, Technology Development and Digital Forensic Laboratory Development",,,"Information Network Security Agency Cyber Warfare  Cyber Intelligence, Technology Development and Digital Forensic Laboratory Development",15098440,0,,,15098440
2012,recurrent,Information Network Security Agency,Cyber Warfare ,Cyber Defense Operation,,,Information Network Security Agency Cyber Warfare  Cyber Defense Operation,7064000,0,,,7064000
2012,recurrent,Information Network Security Agency,Cyber Warfare ,Equipping Electronic Warfare Research Laboratory    ,,,Information Network Security Agency Cyber Warfare  Equipping Electronic Warfare Research Laboratory    ,31054400,0,,,31054400
2012,recurrent,Information Network Security Agency,Cyber Warfare ,Electronic Warfare Technology Development and Service ,,,Information Network Security Agency Cyber Warfare  Electronic Warfare Technology Development and Service ,10574200,0,,,10574200
2012,recurrent,Information Network Security Agency,Cyber Warfare ,Ensuring Media Transmission Quality and Security ,,,Information Network Security Agency Cyber Warfare  Ensuring Media Transmission Quality and Security ,24917890,0,,,24917890
2012,recurrent,Information Network Security Agency,Cyber Warfare ,Cyber Information Provision Service ,,,Information Network Security Agency Cyber Warfare  Cyber Information Provision Service ,203630670,0,,,203630670
2012,recurrent,Information Network Security Agency,Key Information Management ,Assuring Geospatial Service  ,,,Information Network Security Agency Key Information Management  Assuring Geospatial Service  ,8935950,0,,,8935950
2012,recurrent,Information Network Security Agency,Key Information Management ,Cyber Technology Development and Engineering  ,,,Information Network Security Agency Key Information Management  Cyber Technology Development and Engineering  ,6617780,0,,,6617780
2012,recurrent,Information Network Security Agency,Key Information Management ,Upgrading Cyber and Electronic Laboratory and Manufacturing Center  ,,,Information Network Security Agency Key Information Management  Upgrading Cyber and Electronic Laboratory and Manufacturing Center  ,14584070,0,,,14584070
2012,recurrent,Information Network Security Agency,Key Information Management ,Secure Communication Satellite ,,,Information Network Security Agency Key Information Management  Secure Communication Satellite ,4811000,0,,,4811000
2012,recurrent,Information Network Security Agency,Cyber Research and Development  ,Cyber Security Research and Development ,,,Information Network Security Agency Cyber Research and Development   Cyber Security Research and Development ,6e+06,0,,,6e+06
2012,recurrent,Information Network Security Agency,Cyber Research and Development  ,Cyber Technology Research and Development ,,,Information Network Security Agency Cyber Research and Development   Cyber Technology Research and Development ,47493660,0,,,47493660
2012,recurrent,Agency For Refugee and Returnee Affairs,Management and Administration,Providing Support and Service,,,Agency For Refugee and Returnee Affairs Management and Administration Providing Support and Service,64500000,0,,,64500000
2012,recurrent,Financial Intelligence Center ,Management and Administration,Providing Support and Service,,,Financial Intelligence Center  Management and Administration Providing Support and Service,15787105,0,,,15787105
2012,recurrent,Financial Intelligence Center ,Stability in Financial System,Following up Financial Transactions,,,Financial Intelligence Center  Stability in Financial System Following up Financial Transactions,15498950,0,,,15498950
2012,recurrent,"Emigration, Citizenship and Vital Events Agency",Management and Administration,Providing Support and Service,,,"Emigration, Citizenship and Vital Events Agency Management and Administration Providing Support and Service",86072530,0,,,86072530
2012,recurrent,"Emigration, Citizenship and Vital Events Agency",Archiving and Technology Administration,Collecting and Protecting Vital Events Information,,,"Emigration, Citizenship and Vital Events Agency Archiving and Technology Administration Collecting and Protecting Vital Events Information",301262364,0,,,301262364
2012,recurrent,"Emigration, Citizenship and Vital Events Agency",Archiving and Technology Administration,Strengthening Vital Events Registration Technology System,,,"Emigration, Citizenship and Vital Events Agency Archiving and Technology Administration Strengthening Vital Events Registration Technology System",6068240,0,,,6068240
2012,recurrent,"Emigration, Citizenship and Vital Events Agency",Capacity Building,Improving Operational Systems,,,"Emigration, Citizenship and Vital Events Agency Capacity Building Improving Operational Systems",4677300,0,,,4677300
