program,value,vote,year,text
0803040 Defence Financial Management and Oversight,3.8e+07,1041 Ministry of Defence,2022,1041 Ministry of Defence 0803040 Defence Financial Management and Oversight
"0803000 General Administration, Planning and Support Services",2625700000,1041 Ministry of Defence,2022,"1041 Ministry of Defence 0803000 General Administration, Planning and Support Services"
0805010 National Space Management,2.2e+08,1041 Ministry of Defence,2022,1041 Ministry of Defence 0805010 National Space Management
0805000 National Space Management,2.2e+08,1041 Ministry of Defence,2022,1041 Ministry of Defence 0805000 National Space Management
0714010 Administration services,2665995792,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0714010 Administration services
0714000 General Administration Planning and Support Services,2665995792,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0714000 General Administration Planning and Support Services
0715010 Management of Kenya missions abroad,13590508284,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0715010 Management of Kenya missions abroad
0715020 Infrastructure Development for Missions,1.394e+09,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0715020 Infrastructure Development for Missions
"0715030 Management of International Treaties, Agreements and Conventions",22810049,1052 Ministry of Foreign Affairs,2022,"1052 Ministry of Foreign Affairs 0715030 Management of International Treaties, Agreements and Conventions"
0715040 Coordination of State Protocol,831732073,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0715040 Coordination of State Protocol
0715050 Management of Diaspora and Consular Affairs,14476474,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0715050 Management of Diaspora and Consular Affairs
0715060 International Relations and Cooperation,171183767,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0715060 International Relations and Cooperation
0715000 Foreign Relation and Diplomacy,16024710647,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0715000 Foreign Relation and Diplomacy
0741010 Economic and Commercial Cooperation,51823239,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0741010 Economic and Commercial Cooperation
0741000 Economic and Commercial Diplomacy,51823239,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0741000 Economic and Commercial Diplomacy
0742010 Foreign Policy Research and Analysis,139769940,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0742010 Foreign Policy Research and Analysis
0742020 Regional Technical Cooperation,1.5e+08,1052 Ministry of Foreign Affairs,2022,1052 Ministry of Foreign Affairs 0742020 Regional Technical Cooperation
"0742000 Foreign Policy Research, Capacity Dev and Technical Cooperation",289769940,1052 Ministry of Foreign Affairs,2022,"1052 Ministry of Foreign Affairs 0742000 Foreign Policy Research, Capacity Dev and Technical Cooperation"
0505010 Technical Accreditation and Quality Assurance,1046500000,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0505010 Technical Accreditation and Quality Assurance
0505020 Technical Trainers and Instructor Services,17593641625,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0505020 Technical Trainers and Instructor Services
0505030 Special Needs in Technical and Vocational Education,2.2e+08,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0505030 Special Needs in Technical and Vocational Education
0505040 Infrastructure Development and Expansion,5829822807,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0505040 Infrastructure Development and Expansion
0505000 Technical Vocational Education and Training,24689964432,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0505000 Technical Vocational Education and Training
0507010 Revitalization of Youth Polytechnics,44855043,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0507010 Revitalization of Youth Polytechnics
0507000 Youth Training and Development,44855043,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0507000 Youth Training and Development
0508010 Headquarters Administrative Services,195503332,1064 State Department for Vocational and Technical Training,2022,1064 State Department for Vocational and Technical Training 0508010 Headquarters Administrative Services
"0508000 General Administration, Planning and Support Services",195503332,1064 State Department for Vocational and Technical Training,2022,"1064 State Department for Vocational and Technical Training 0508000 General Administration, Planning and Support Services"
0504010 University Education,91042407149,1065 State Department for University Education,2022,1065 State Department for University Education 0504010 University Education
0504020 Quality Assurance and Standards,285050487,1065 State Department for University Education,2022,1065 State Department for University Education 0504020 Quality Assurance and Standards
0504030 Higher Education Support Services,17119297267,1065 State Department for University Education,2022,1065 State Department for University Education 0504030 Higher Education Support Services
0504000 University Education,108446754903,1065 State Department for University Education,2022,1065 State Department for University Education 0504000 University Education
0506010 Research Management and Development,678407645,1065 State Department for University Education,2022,1065 State Department for University Education 0506010 Research Management and Development
0506020 Knowledge and Innovation Development and Commercialization,97875963,1065 State Department for University Education,2022,1065 State Department for University Education 0506020 Knowledge and Innovation Development and Commercialization
0506030 Science and Technology Development and Promotion,269841804,1065 State Department for University Education,2022,1065 State Department for University Education 0506030 Science and Technology Development and Promotion
"0506000 Research, Science, Technology and Innovation",1046125412,1065 State Department for University Education,2022,"1065 State Department for University Education 0506000 Research, Science, Technology and Innovation"
0508010 Headquarters Administrative Services,345115013,1065 State Department for University Education,2022,1065 State Department for University Education 0508010 Headquarters Administrative Services
"0508000 General Administration, Planning and Support Services",345115013,1065 State Department for University Education,2022,"1065 State Department for University Education 0508000 General Administration, Planning and Support Services"
0501010 Free Primary Education,16060490540,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501010 Free Primary Education
0501020 Special Needs Education,955659631,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501020 Special Needs Education
0501040 Early Child Development and Education,18118066,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501040 Early Child Development and Education
0501050 Primary Teachers Training and In-servicing,766975982,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501050 Primary Teachers Training and In-servicing
0501060 Alternative Basic Adult & Continuing Education,81445652,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501060 Alternative Basic Adult & Continuing Education
"0501070 School Health, Nutrition and Meals",1984693389,1066  State Department for Early Learning & Basic Education,2022,"1066  State Department for Early Learning & Basic Education 0501070 School Health, Nutrition and Meals"
0501080 Expanding Education Opportunities in ASALs,,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501080 Expanding Education Opportunities in ASALs
0501090 ICT Capacity Development,1e+07,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501090 ICT Capacity Development
0501000 Primary Education,19877383260,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0501000 Primary Education
0502020 Free Day Secondary Education,80551328240,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0502020 Free Day Secondary Education
0502030 Secondary Teachers Education Services,378700000,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0502030 Secondary Teachers Education Services
0502040 Secondary Teachers In-Service,284733300,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0502040 Secondary Teachers In-Service
0502050 Special Needs education,2e+08,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0502050 Special Needs education
0502000 Secondary Education,81414761540,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0502000 Secondary Education
0503010 Curriculum Development,1488387569,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0503010 Curriculum Development
0503020 Examination and Certification,1622100000,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0503020 Examination and Certification
0503030 Co-Curriculum Activities,974298303,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0503030 Co-Curriculum Activities
0503000 Quality Assurance and Standards,4084785872,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0503000 Quality Assurance and Standards
0508010 Headquarters Administrative Services,2555439274,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0508010 Headquarters Administrative Services
0508020 County Administrative Services,2748869964,1066  State Department for Early Learning & Basic Education,2022,1066  State Department for Early Learning & Basic Education 0508020 County Administrative Services
"0508000 General Administration, Planning and Support Services",5304309238,1066  State Department for Early Learning & Basic Education,2022,"1066  State Department for Early Learning & Basic Education 0508000 General Administration, Planning and Support Services"
0508010 Headquarters Administrative Services,88960009,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0508010 Headquarters Administrative Services
0508030 Financial Management Services,31536656,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0508030 Financial Management Services
0508040 Planning and Monitoring Services,13760391,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0508040 Planning and Monitoring Services
"0508000 General Administration, Planning and Support Services",134257056,1068 State Department for Post Training and Skills Development,2022,"1068 State Department for Post Training and Skills Development 0508000 General Administration, Planning and Support Services"
0512010 Management of Skills Development,45266565,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0512010 Management of Skills Development
0512020 Work-Based Learning Services,128577351,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0512020 Work-Based Learning Services
0512000 Work Place Readiness Services,173843916,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0512000 Work Place Readiness Services
0513010 Management of National Skills Inventory,14645301,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0513010 Management of National Skills Inventory
0513020 Skills and Employment Data-Based Management Services,33853727,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0513020 Skills and Employment Data-Based Management Services
0513000 Post Training Information Management,48499028,1068 State Department for Post Training and Skills Development,2022,1068 State Department for Post Training and Skills Development 0513000 Post Training Information Management
"0514010 General Administration, Planning and Support Services",257026992,1069 State Department for Implementation of Curriculum Reforms,2022,"1069 State Department for Implementation of Curriculum Reforms 0514010 General Administration, Planning and Support Services"
0514020 Coordination of Curriculum Reforms Implementation,82272408,1069 State Department for Implementation of Curriculum Reforms,2022,1069 State Department for Implementation of Curriculum Reforms 0514020 Coordination of Curriculum Reforms Implementation
0514000 Coordination of the Curriculum Reforms Implementation,339299400,1069 State Department for Implementation of Curriculum Reforms,2022,1069 State Department for Implementation of Curriculum Reforms 0514000 Coordination of the Curriculum Reforms Implementation
0203010 Rail Transport,3.1928e+10,1071 The National Treasury,2022,1071 The National Treasury 0203010 Rail Transport
0203000 Rail Transport,3.1928e+10,1071 The National Treasury,2022,1071 The National Treasury 0203000 Rail Transport
0204010 Marine Transport,3120638636,1071 The National Treasury,2022,1071 The National Treasury 0204010 Marine Transport
0204000 Marine Transport,3120638636,1071 The National Treasury,2022,1071 The National Treasury 0204000 Marine Transport
0717010 Administration Services,30103238486,1071 The National Treasury,2022,1071 The National Treasury 0717010 Administration Services
0717020 Human Resources Management Services,132557736,1071 The National Treasury,2022,1071 The National Treasury 0717020 Human Resources Management Services
0717030 Financial Services,28884338101,1071 The National Treasury,2022,1071 The National Treasury 0717030 Financial Services
0717040 ICT Services,103576626,1071 The National Treasury,2022,1071 The National Treasury 0717040 ICT Services
0717000 General Administration Planning and Support Services,59223710949,1071 The National Treasury,2022,1071 The National Treasury 0717000 General Administration Planning and Support Services
0718010 Resource Mobilization,14790656436,1071 The National Treasury,2022,1071 The National Treasury 0718010 Resource Mobilization
0718020 Budget Formulation Coordination and Management,16134367377,1071 The National Treasury,2022,1071 The National Treasury 0718020 Budget Formulation Coordination and Management
0718030 Audit Services,812329038,1071 The National Treasury,2022,1071 The National Treasury 0718030 Audit Services
0718040 Accounting Services,3160970775,1071 The National Treasury,2022,1071 The National Treasury 0718040 Accounting Services
0718050 Supply Chain Management Services,982542777,1071 The National Treasury,2022,1071 The National Treasury 0718050 Supply Chain Management Services
0718060 Public Financial Management Reforms,1363169412,1071 The National Treasury,2022,1071 The National Treasury 0718060 Public Financial Management Reforms
0718070 Government Investment and Assets,31712375792,1071 The National Treasury,2022,1071 The National Treasury 0718070 Government Investment and Assets
0718000 Public Financial Management,68956411607,1071 The National Treasury,2022,1071 The National Treasury 0718000 Public Financial Management
"0719010 Fiscal Policy Formulation, Development and Management",7540281874,1071 The National Treasury,2022,"1071 The National Treasury 0719010 Fiscal Policy Formulation, Development and Management"
0719020 Debt Management,130953932,1071 The National Treasury,2022,1071 The National Treasury 0719020 Debt Management
0719040 Microfinance Sector Support and Development,3.09e+09,1071 The National Treasury,2022,1071 The National Treasury 0719040 Microfinance Sector Support and Development
0719000 Economic and Financial Policy Formulation and Management,10761235806,1071 The National Treasury,2022,1071 The National Treasury 0719000 Economic and Financial Policy Formulation and Management
0720010 Elimination of Restrictive Trade Practices,332100000,1071 The National Treasury,2022,1071 The National Treasury 0720010 Elimination of Restrictive Trade Practices
0720000 Market Competition,332100000,1071 The National Treasury,2022,1071 The National Treasury 0720000 Market Competition
0740010 Government Clearing Services,74820240,1071 The National Treasury,2022,1071 The National Treasury 0740010 Government Clearing Services
0740000 Government Clearing Services,74820240,1071 The National Treasury,2022,1071 The National Treasury 0740000 Government Clearing Services
0706010 Economic Planning Coordination services,468257409,1072 State Department for Planning,2022,1072 State Department for Planning 0706010 Economic Planning Coordination services
0706020 Community Development,44486451820,1072 State Department for Planning,2022,1072 State Department for Planning 0706020 Community Development
0706030 Macro Economic policy planning and regional integration,752746858,1072 State Department for Planning,2022,1072 State Department for Planning 0706030 Macro Economic policy planning and regional integration
0706040 Policy Research,593780000,1072 State Department for Planning,2022,1072 State Department for Planning 0706040 Policy Research
0706050 Population Management Services,452460000,1072 State Department for Planning,2022,1072 State Department for Planning 0706050 Population Management Services
"0706060 Infrastructure, science, technology and innovation",43999480,1072 State Department for Planning,2022,"1072 State Department for Planning 0706060 Infrastructure, science, technology and innovation"
0706070 Sectoral Policy and Planning,115674433,1072 State Department for Planning,2022,1072 State Department for Planning 0706070 Sectoral Policy and Planning
0706000 Economic Policy and National Planning,46913370000,1072 State Department for Planning,2022,1072 State Department for Planning 0706000 Economic Policy and National Planning
0707010 Census and Surveys,1546370000,1072 State Department for Planning,2022,1072 State Department for Planning 0707010 Census and Surveys
0707000 National Statistical Information Services,1546370000,1072 State Department for Planning,2022,1072 State Department for Planning 0707000 National Statistical Information Services
0708010 National Integrated Monitoring and Evaluation,190338668,1072 State Department for Planning,2022,1072 State Department for Planning 0708010 National Integrated Monitoring and Evaluation
0708040 Public Investments Management Services,85451332,1072 State Department for Planning,2022,1072 State Department for Planning 0708040 Public Investments Management Services
0708000 Public Investment Management Monitoring and Evaluation Services,275790000,1072 State Department for Planning,2022,1072 State Department for Planning 0708000 Public Investment Management Monitoring and Evaluation Services
0709010 Human Resources and Support Services,271414559,1072 State Department for Planning,2022,1072 State Department for Planning 0709010 Human Resources and Support Services
0709020 Financial Management Services,57482551,1072 State Department for Planning,2022,1072 State Department for Planning 0709020 Financial Management Services
0709030 Information Communications Services,21692890,1072 State Department for Planning,2022,1072 State Department for Planning 0709030 Information Communications Services
0709000 General Administration Planning and Support Services,350590000,1072 State Department for Planning,2022,1072 State Department for Planning 0709000 General Administration Planning and Support Services
0401020 Non-communicable Disease Prevention & Control,781904285,1081 Ministry of Health,2022,1081 Ministry of Health 0401020 Non-communicable Disease Prevention & Control
0401030 Reproductive Maternal Neo-natal Child & Adolescent Health-RMNCAH,7892506800,1081 Ministry of Health,2022,1081 Ministry of Health 0401030 Reproductive Maternal Neo-natal Child & Adolescent Health-RMNCAH
0401040 Radiation Safety and Nuclear Security,1.8e+08,1081 Ministry of Health,2022,1081 Ministry of Health 0401040 Radiation Safety and Nuclear Security
0401050 Communicable Disease Control,7980935471,1081 Ministry of Health,2022,1081 Ministry of Health 0401050 Communicable Disease Control
0401080 Disease Surveillance and Response,9255624210,1081 Ministry of Health,2022,1081 Ministry of Health 0401080 Disease Surveillance and Response
0401090 Environmental Health,464607106,1081 Ministry of Health,2022,1081 Ministry of Health 0401090 Environmental Health
"0401000 Preventive, Promotive & Reproductive Health",26555577872,1081 Ministry of Health,2022,"1081 Ministry of Health 0401000 Preventive, Promotive & Reproductive Health"
0402010 National Referral Services,40146052825,1081 Ministry of Health,2022,1081 Ministry of Health 0402010 National Referral Services
0402020 National Public Health Labs,125420792,1081 Ministry of Health,2022,1081 Ministry of Health 0402020 National Public Health Labs
0402040 Forensic and Diagnostics,3331042100,1081 Ministry of Health,2022,1081 Ministry of Health 0402040 Forensic and Diagnostics
0402060 Health Infrastructure and Equipment,5.214e+09,1081 Ministry of Health,2022,1081 Ministry of Health 0402060 Health Infrastructure and Equipment
0402080 National Blood Transfusion Services,129101678,1081 Ministry of Health,2022,1081 Ministry of Health 0402080 National Blood Transfusion Services
0402090 Health Products and Technologies,2.906e+09,1081 Ministry of Health,2022,1081 Ministry of Health 0402090 Health Products and Technologies
0402000 National Referral & Specialized Services,51851617395,1081 Ministry of Health,2022,1081 Ministry of Health 0402000 National Referral & Specialized Services
